medicago;soybean_id;soybean;lotus;faba;arabidopsis;maize
MtrunA17_Chr1g0202221;KRH35192;Glyma.10G227400;LotjaGi5g1v0293800;Vfaba.Hedin2.R2.3g020310;AT3G59140.1;Zm00001eb034990_P001
MtrunA17_Chr1g0202221;KRH35193;Glyma.10G227400;LotjaGi5g1v0293800;Vfaba.Hedin2.R2.3g020310;AT3G59140.1;Zm00001eb034990_P001
MtrunA17_Chr1g0202221;KRH35194;Glyma.10G227400;LotjaGi5g1v0293800;Vfaba.Hedin2.R2.3g020310;AT3G59140.1;Zm00001eb034990_P001
MtrunA17_Chr1g0202221;KRH35195;Glyma.10G227400;LotjaGi5g1v0293800;Vfaba.Hedin2.R2.3g020310;AT3G59140.1;Zm00001eb034990_P001
MtrunA17_Chr1g0202221;KRH35196;Glyma.10G227400;LotjaGi5g1v0293800;Vfaba.Hedin2.R2.3g020310;AT3G59140.1;Zm00001eb034990_P001
MtrunA17_Chr1g0202221;KRH35197;Glyma.10G227400;LotjaGi5g1v0293800;Vfaba.Hedin2.R2.3g020310;AT3G59140.1;Zm00001eb034990_P001
MtrunA17_Chr1g0202241;KRH26171;Glyma.12G156600;LotjaGi5g1v0294000;Vfaba.Hedin2.R2.3g020313;NA;NA
MtrunA17_Chr1g0202261;KRH35200;Glyma.10G227700;LotjaGi5g1v0294200;Vfaba.Hedin2.R2.3g020317;AT5G24090.1;NA
MtrunA17_Chr1g0202291;KRH35201;Glyma.10G227800;LotjaGi5g1v0294300;Vfaba.Hedin2.R2.3g020320;AT5G52920.1;NA
MtrunA17_Chr1g0202301;KRG91614;Glyma.20G164400;LotjaGi5g1v0294400;NA;NA;NA
MtrunA17_Chr1g0202311;KRH35210;Glyma.10G228700;LotjaGi5g1v0294500;Vfaba.Hedin2.R2.3g020324;NA;Zm00001eb221900_P002
MtrunA17_Chr1g0202321;KRH35210;Glyma.10G228700;NA;Vfaba.Hedin2.R2.3g020324;NA;Zm00001eb221900_P002
MtrunA17_Chr1g0202331;KRG91610;Glyma.20G164200;LotjaGi5g1v0294800;NA;NA;NA
MtrunA17_Chr1g0202351;KRG91606;Glyma.20G164100;LotjaGi5g1v0294900;Vfaba.Hedin2.R2.3g020326;NA;Zm00001eb032160_P001
MtrunA17_Chr1g0202361;KRG91605;Glyma.20G164000;LotjaGi5g1v0295000;NA;NA;NA
MtrunA17_Chr1g0202391;KRH35221;Glyma.10G229500;LotjaGi5g1v0295100;Vfaba.Hedin2.R2.3g020335;AT5G52880.1;Zm00001eb293490_P004
MtrunA17_Chr1g0202401;KRH35223;Glyma.10G229600;LotjaGi5g1v0295300;Vfaba.Hedin2.R2.3g020336;NA;NA
MtrunA17_Chr1g0202411;KRG93136;Glyma.20G249800;LotjaGi5g1v0366400;Vfaba.Hedin2.R2.3g020337;AT1G28140.1;Zm00001eb064540_P001
MtrunA17_Chr1g0202421;KRG91600;Glyma.20G163600;LotjaGi5g1v0295400;Vfaba.Hedin2.R2.3g020338;AT5G52870.1;NA
MtrunA17_Chr1g0202431;KRG91599;Glyma.20G163500;LotjaGi5g1v0295600;Vfaba.Hedin2.R2.3g020344;AT5G52860.1;Zm00001eb372940_P002
MtrunA17_Chr1g0202451;KRH35229;Glyma.10G230100;LotjaGi5g1v0295700;Vfaba.Hedin2.R2.3g020346;AT5G52850.1;NA
MtrunA17_Chr1g0202461;KRG91594;Glyma.20G163200;LotjaGi4g1v0139600_LC;Vfaba.Hedin2.R2.3g020347;AT5G52830.1;NA
MtrunA17_Chr1g0202471;KRG91593;Glyma.20G163100;LotjaGi5g1v0296100;Vfaba.Hedin2.R2.3g020348;AT5G52810.1;Zm00001eb021880_P001
MtrunA17_Chr1g0202491;KRG91592;Glyma.20G163000;NA;Vfaba.Hedin2.R2.3g020349;AT1G64700.1;NA
MtrunA17_Chr1g0202561;KRH35234;Glyma.10G230600;NA;Vfaba.Hedin2.R2.3g020365;NA;NA
MtrunA17_Chr1g0202641;KRH35239;Glyma.10G231000;LotjaGi2g1v0124100;Vfaba.Hedin2.R2.3g020600;NA;NA
MtrunA17_Chr1g0202661;KRG91583;Glyma.20G162600;NA;Vfaba.Hedin2.R2.3g020371;AT4G25700.1;NA
MtrunA17_Chr1g0202691;KRH35243;Glyma.10G231300;LotjaGi5g1v0296800;Vfaba.Hedin2.R2.3g020372;AT4G25670.1;Zm00001eb229390_P001
MtrunA17_Chr1g0202711;KRG91576;Glyma.20G162300;LotjaGi2g1v0123500;Vfaba.Hedin2.R2.3g020374;AT5G24010.1;NA
MtrunA17_Chr1g0202741;KRH35246;Glyma.10G231600;LotjaGi5g1v0297000;Vfaba.Hedin2.R2.3g020377;AT5G23980.1;NA
MtrunA17_Chr1g0202751;KRG91574;Glyma.20G162200;LotjaGi5g1v0297100;NA;NA;NA
MtrunA17_Chr1g0202751;KRG91575;Glyma.20G162200;LotjaGi5g1v0297100;NA;NA;NA
MtrunA17_Chr1g0202761;KRG91572;Glyma.20G162000;LotjaGi5g1v0297400;Vfaba.Hedin2.R2.3g020388;AT4G25640.1;Zm00001eb191100_P001
MtrunA17_Chr1g0202781;KRH04918;Glyma.17G196100;LotjaGi5g1v0290000;NA;NA;NA
MtrunA17_Chr1g0202791;KRH35254;Glyma.10G232300;LotjaGi5g1v0298100;Vfaba.Hedin2.R2.3g020390;AT4G09980.1;Zm00001eb003840_P001
MtrunA17_Chr1g0202791;KRH35255;Glyma.10G232300;LotjaGi5g1v0298100;Vfaba.Hedin2.R2.3g020390;AT4G09980.1;Zm00001eb003840_P001
MtrunA17_Chr1g0202801;KRH35256;Glyma.10G232400;LotjaGi5g1v0298200;NA;NA;NA
MtrunA17_Chr1g0202801;KRG91567;Glyma.20G161700;LotjaGi5g1v0298200;Vfaba.Hedin2.R2.3g020391;AT5G52440.1;Zm00001eb085050_P001
MtrunA17_Chr1g0202821;KRH50700;Glyma.07G237800;LotjaGi4g1v0332800;NA;NA;NA
MtrunA17_Chr1g0202831;KRG91565;Glyma.20G161500;LotjaGi2g1v0139500;Vfaba.Hedin2.R2.3g020394;AT1G63700.1;Zm00001eb186910_P001
MtrunA17_Chr1g0202861;KRH35273;Glyma.10G233200;LotjaGi2g1v0139700;Vfaba.Hedin2.R2.3g020395;NA;NA
MtrunA17_Chr1g0202951;KRG91555;Glyma.20G161100;LotjaGi5g1v0298500;Vfaba.Hedin2.R2.3g020397;AT5G52420.1;NA
MtrunA17_Chr1g0202961;KRH35277;Glyma.10G233400;LotjaGi5g1v0298600;Vfaba.Hedin2.R2.3g020398;AT4G25610.1;Zm00001eb095880_P001
MtrunA17_Chr1g0202961;KRH35278;Glyma.10G233400;LotjaGi5g1v0298600;Vfaba.Hedin2.R2.3g020398;AT4G25610.1;Zm00001eb095880_P001
MtrunA17_Chr1g0202971;KRH35280;Glyma.10G233500;LotjaGi5g1v0298700;Vfaba.Hedin2.R2.3g020402;NA;NA
MtrunA17_Chr1g0203001;KRG91552;Glyma.20G160800;LotjaGi5g1v0298900;Vfaba.Hedin2.R2.3g020401;AT3G49055.1;NA
MtrunA17_Chr1g0203011;KRH23817;Glyma.12G005800;NA;NA;NA;NA
MtrunA17_Chr1g0203021;KRH00308;Glyma.18G205200;LotjaGi3g1v0013200;Vfaba.Hedin2.R2.5g029403;AT3G08880.1;Zm00001eb423320_P003
MtrunA17_Chr1g0203051;KRH33417;Glyma.10G121700;LotjaGi1g1v0147500;NA;NA;NA
MtrunA17_Chr1g0203061;RCW19248;Glyma.09G136700;LotjaGi2g1v0140600;Vfaba.Hedin2.R2.3g020400;AT3G49050.1;Zm00001eb095920_P001
MtrunA17_Chr1g0203061;KRH35282;Glyma.10G233700;LotjaGi2g1v0140600;NA;NA;NA
MtrunA17_Chr1g0203071;KRG93876;Glyma.19G047300;LotjaGi2g1v0140900;Vfaba.Hedin2.R2.3g020403;AT3G53740.2;Zm00001eb289680_P002
MtrunA17_Chr1g0203081;KRG91541;Glyma.20G160200;LotjaGi2g1v0141400_LC;Vfaba.Hedin2.R2.3g020404;AT4G24020.1;Zm00001eb339390_P002
MtrunA17_Chr1g0203081;KRH35288;Glyma.10G234100;LotjaGi2g1v0141400_LC;NA;NA;NA
MtrunA17_Chr1g0203091;KRG91538;Glyma.20G160100;LotjaGi5g1v0299500;Vfaba.Hedin2.R2.3g020405;AT4G33410.1;Zm00001eb175980_P002
MtrunA17_Chr1g0203091;KRG91539;Glyma.20G160100;LotjaGi5g1v0299500;Vfaba.Hedin2.R2.3g020405;AT4G33410.1;Zm00001eb175980_P002
MtrunA17_Chr1g0203091;KRG91540;Glyma.20G160100;LotjaGi5g1v0299500;Vfaba.Hedin2.R2.3g020405;AT4G33410.1;Zm00001eb175980_P002
MtrunA17_Chr1g0203101;KRH35291;Glyma.10G234400;LotjaGi5g1v0299700;Vfaba.Hedin2.R2.3g020412;AT5G23870.1;NA
MtrunA17_Chr1g0203131;KRH35293;Glyma.10G234500;LotjaGi5g1v0299800;Vfaba.Hedin2.R2.3g020414;NA;Zm00001eb249900_P001
MtrunA17_Chr1g0203141;KRG91533;Glyma.20G159700;LotjaGi5g1v0299900;Vfaba.Hedin2.R2.3g020415;AT5G52400.1;NA
MtrunA17_Chr1g0203161;KRH35297;Glyma.10G234800;LotjaGi5g1v0300000;NA;NA;NA
MtrunA17_Chr1g0203161;RCW18751;Glyma.20G159500;LotjaGi5g1v0300000;Vfaba.Hedin2.R2.3g020419;AT3G49000.1;Zm00001eb160040_P001
MtrunA17_Chr1g0203171;KRG91527;Glyma.20G159400;LotjaGi5g1v0300200;NA;NA;NA
MtrunA17_Chr1g0203181;KRG91525;Glyma.20G159200;LotjaGi5g1v0300100;Vfaba.Hedin2.R2.3g020426;AT5G23860.1;Zm00001eb000490_P003
MtrunA17_Chr1g0203191;KRG91524;Glyma.20G159100;LotjaGi5g1v0300300;Vfaba.Hedin2.R2.3g020427;AT5G52380.1;Zm00001eb074410_P001
MtrunA17_Chr1g0203201;KRH35307;Glyma.10G235300;LotjaGi5g1v0300400_LC;Vfaba.Hedin2.R2.3g020428;NA;NA
MtrunA17_Chr1g0203201;KRH35305;Glyma.10G235300;LotjaGi5g1v0300400_LC;Vfaba.Hedin2.R2.3g020428;NA;NA
MtrunA17_Chr1g0203201;KRH35306;Glyma.10G235300;LotjaGi5g1v0300400_LC;Vfaba.Hedin2.R2.3g020428;NA;NA
MtrunA17_Chr1g0203201;KRH35304;Glyma.10G235300;LotjaGi5g1v0300400_LC;Vfaba.Hedin2.R2.3g020428;NA;NA
MtrunA17_Chr1g0203201;KRH35303;Glyma.10G235300;LotjaGi5g1v0300400_LC;Vfaba.Hedin2.R2.3g020428;NA;NA
MtrunA17_Chr1g0203211;KRG91521;Glyma.20G158900;LotjaGi5g1v0300500;Vfaba.Hedin2.R2.3g020429;AT4G25590.1;NA
MtrunA17_Chr1g0203211;KRH35309;Glyma.10G235500;LotjaGi5g1v0300500;Vfaba.Hedin2.R2.3g020429;AT4G25590.1;NA
MtrunA17_Chr1g0203241;KRH54033;Glyma.06G161300;NA;Vfaba.Hedin2.R2.3g020431;AT2G31305.1;Zm00001eb059790_P001
MtrunA17_Chr1g0203271;KRG91516;Glyma.20G158600;LotjaGi5g1v0300900;Vfaba.Hedin2.R2.3g020439;AT1G55630.1;Zm00001eb044070_P001
MtrunA17_Chr1g0203271;KRG91517;Glyma.20G158600;LotjaGi5g1v0300900;Vfaba.Hedin2.R2.3g020439;AT1G55630.1;Zm00001eb044070_P001
MtrunA17_Chr1g0203351;KRG91515;Glyma.20G158500;LotjaGi5g1v0301200_LC;Vfaba.Hedin2.R2.3g020440;NA;NA
MtrunA17_Chr1g0203361;KRH35322;Glyma.10G236100;LotjaGi5g1v0301300;Vfaba.Hedin2.R2.3g020441;AT5G52280.1;NA
MtrunA17_Chr1g0203361;KRH35323;Glyma.10G236100;LotjaGi5g1v0301300;Vfaba.Hedin2.R2.3g020441;AT5G52280.1;NA
MtrunA17_Chr1g0203361;KRH35324;Glyma.10G236100;LotjaGi5g1v0301300;Vfaba.Hedin2.R2.3g020441;AT5G52280.1;NA
MtrunA17_Chr1g0203371;KRG91503;Glyma.20G158300;LotjaGi5g1v0301400;Vfaba.Hedin2.R2.3g020448;AT4G25570.1;Zm00001eb248610_P001
MtrunA17_Chr1g0203401;KRH35326;Glyma.10G236300;LotjaGi5g1v0301500;Vfaba.Hedin2.R2.3g020449;AT5G23750.1;Zm00001eb075630_P001
MtrunA17_Chr1g0203411;KRG91500;Glyma.20G158100;LotjaGi2g1v0144300_LC;Vfaba.Hedin2.R2.3g020450;NA;NA
MtrunA17_Chr1g0203411;KRG91501;Glyma.20G158100;LotjaGi2g1v0144300_LC;Vfaba.Hedin2.R2.3g020450;NA;NA
MtrunA17_Chr1g0203421;KRH35332;Glyma.10G236500;LotjaGi5g1v0301600_LC;NA;NA;NA
MtrunA17_Chr1g0203441;KRG91495;Glyma.20G157900;LotjaGi5g1v0301700;Vfaba.Hedin2.R2.3g020452;AT5G52260.1;Zm00001eb248560_P001
MtrunA17_Chr1g0203441;KRG91494;Glyma.20G157900;LotjaGi5g1v0301700;Vfaba.Hedin2.R2.3g020452;AT5G52260.1;Zm00001eb248560_P001
MtrunA17_Chr1g0203451;KRG91493;Glyma.20G157800;LotjaGi5g1v0301800;Vfaba.Hedin2.R2.3g020456;AT4G25550.1;Zm00001eb065770_P001
MtrunA17_Chr1g0203461;KRG91481;Glyma.20G157600;LotjaGi5g1v0301900;Vfaba.Hedin2.R2.3g020457;AT4G25540.1;Zm00001eb434000_P001
MtrunA17_Chr1g0203471;KRG91475;Glyma.20G157500;LotjaGi5g1v0302000;Vfaba.Hedin2.R2.3g020460;AT3G48880.1;Zm00001eb044180_P001
MtrunA17_Chr1g0203471;KRG91476;Glyma.20G157500;LotjaGi5g1v0302000;Vfaba.Hedin2.R2.3g020460;AT3G48880.1;Zm00001eb044180_P001
MtrunA17_Chr1g0203471;KRG91477;Glyma.20G157500;LotjaGi5g1v0302000;Vfaba.Hedin2.R2.3g020460;AT3G48880.1;Zm00001eb044180_P001
MtrunA17_Chr1g0203471;KRG91478;Glyma.20G157500;LotjaGi5g1v0302000;Vfaba.Hedin2.R2.3g020460;AT3G48880.1;Zm00001eb044180_P001
MtrunA17_Chr1g0203471;KRG91479;Glyma.20G157500;LotjaGi5g1v0302000;Vfaba.Hedin2.R2.3g020460;AT3G48880.1;Zm00001eb044180_P001
MtrunA17_Chr1g0203511;KRH35342;Glyma.10G237000;LotjaGi5g1v0302100;NA;NA;NA
MtrunA17_Chr1g0203531;KRH35343;Glyma.10G237100;NA;NA;NA;NA
MtrunA17_Chr1g0203551;KRG91469;Glyma.20G157200;LotjaGi5g1v0302600;Vfaba.Hedin2.R2.3g020469;NA;NA
MtrunA17_Chr1g0203551;KRG91470;Glyma.20G157200;LotjaGi5g1v0302600;Vfaba.Hedin2.R2.3g020469;NA;NA
MtrunA17_Chr1g0203551;KRG91471;Glyma.20G157200;LotjaGi5g1v0302600;Vfaba.Hedin2.R2.3g020469;NA;NA
MtrunA17_Chr1g0203551;KRG91472;Glyma.20G157200;LotjaGi5g1v0302600;Vfaba.Hedin2.R2.3g020469;NA;NA
MtrunA17_Chr1g0203561;KRH35349;Glyma.10G237500;LotjaGi5g1v0302700;NA;NA;NA
MtrunA17_Chr1g0203581;KRG91465;Glyma.20G156900;LotjaGi5g1v0302900;Vfaba.Hedin2.R2.3g020470;AT5G52180.1;Zm00001eb378500_P001
MtrunA17_Chr1g0203591;KRH38756;Glyma.09G156100;NA;NA;NA;NA
MtrunA17_Chr1g0203631;KRG91463;Glyma.20G156700;LotjaGi5g1v0303100;Vfaba.Hedin2.R2.3g020476;AT5G07280.1;Zm00001eb143420_P001
MtrunA17_Chr1g0203671;KRH35356;Glyma.10G238100;LotjaGi5g1v0064400;Vfaba.Hedin2.R2.3g020483;NA;NA
MtrunA17_Chr1g0203701;KRG91455;Glyma.20G156300;NA;Vfaba.Hedin2.R2.3g020491;AT5G62065.1;NA
MtrunA17_Chr1g0203711;KRG91452;Glyma.20G156200;LotjaGi5g1v0303700;Vfaba.Hedin2.R2.3g020492;AT5G07240.1;NA
MtrunA17_Chr1g0203721;KRH35363;Glyma.10G238500;LotjaGi1g1v0492200_LC;Vfaba.Hedin2.R2.3g020493;NA;NA
MtrunA17_Chr1g0203731;KRH38567;Glyma.09G144000;NA;Vfaba.Hedin2.R2.3g020495;AT5G52160.1;Zm00001eb198610_P001
MtrunA17_Chr1g0203751;KRH35369;Glyma.10G238700;LotjaGi5g1v0304100;Vfaba.Hedin2.R2.3g020498;NA;NA
MtrunA17_Chr1g0203761;KRH35371;Glyma.10G238800;LotjaGi5g1v0304200;NA;NA;NA
MtrunA17_Chr1g0203761;KRG91444;Glyma.20G155600;LotjaGi5g1v0304200;Vfaba.Hedin2.R2.3g020499;AT5G52100.1;Zm00001eb001140_P004
MtrunA17_Chr1g0203791;KRG91443;Glyma.20G155500;LotjaGi2g1v0149700;NA;NA;NA
MtrunA17_Chr1g0203801;KRH35378;Glyma.10G239100;LotjaGi5g1v0304500;Vfaba.Hedin2.R2.3g020504;AT4G25500.1;NA
MtrunA17_Chr1g0203811;KRH35378;Glyma.10G239100;NA;Vfaba.Hedin2.R2.3g020504;AT4G25500.1;NA
MtrunA17_Chr1g0203801;KRH35379;Glyma.10G239100;LotjaGi5g1v0304500;Vfaba.Hedin2.R2.3g020504;AT4G25500.1;NA
MtrunA17_Chr1g0203811;KRH35379;Glyma.10G239100;NA;Vfaba.Hedin2.R2.3g020504;AT4G25500.1;NA
MtrunA17_Chr1g0203801;KRH35377;Glyma.10G239100;LotjaGi5g1v0304500;Vfaba.Hedin2.R2.3g020504;AT4G25500.1;NA
MtrunA17_Chr1g0203811;KRH35377;Glyma.10G239100;NA;Vfaba.Hedin2.R2.3g020504;AT4G25500.1;NA
MtrunA17_Chr1g0203821;KRH35380;Glyma.10G239200;LotjaGi5g1v0304600;Vfaba.Hedin2.R2.3g020505;AT5G52030.2;Zm00001eb037540_P003
MtrunA17_Chr1g0203831;KRH35382;Glyma.10G239300;LotjaGi5g1v0304800;Vfaba.Hedin2.R2.3g020507;AT1G12630.1;Zm00001eb187190_P001
MtrunA17_Chr1g0203861;KRG91437;Glyma.20G155100;NA;Vfaba.Hedin2.R2.2g017192;NA;Zm00001eb073550_P001
MtrunA17_Chr1g0203871;KRH35384;Glyma.10G239500;LotjaGi5g1v0305000;Vfaba.Hedin2.R2.3g020511;AT1G14610.1;Zm00001eb104290_P002
MtrunA17_Chr1g0203871;KRH35385;Glyma.10G239500;LotjaGi5g1v0305000;Vfaba.Hedin2.R2.3g020511;AT1G14610.1;Zm00001eb104290_P002
MtrunA17_Chr1g0203871;KRH35386;Glyma.10G239500;LotjaGi5g1v0305000;Vfaba.Hedin2.R2.3g020511;AT1G14610.1;Zm00001eb104290_P002
MtrunA17_Chr1g0203881;KRH09150;Glyma.16G199400;LotjaGi2g1v0150900;Vfaba.Hedin2.R2.3g020513;AT1G12580.1;Zm00001eb269440_P001
MtrunA17_Chr1g0203891;KRH35388;Glyma.10G239700;LotjaGi5g1v0305200;Vfaba.Hedin2.R2.3g020623;AT5G62150.1;Zm00001eb428620_P001
MtrunA17_Chr1g0203971;KRG91434;Glyma.20G154800;LotjaGi5g1v0305350;Vfaba.Hedin2.R2.3g020624;AT5G51950.1;NA
MtrunA17_Chr1g0203981;KRG91433;Glyma.20G154700;LotjaGi5g1v0305400;Vfaba.Hedin2.R2.3g020625;AT5G51920.1;Zm00001eb198540_P001
MtrunA17_Chr1g0204001;KRG91429;Glyma.20G154400;LotjaGi5g1v0305500;Vfaba.Hedin2.R2.3g020514;AT5G51910.1;Zm00001eb037480_P001
MtrunA17_Chr1g0204001;KRG91430;Glyma.20G154400;LotjaGi5g1v0305500;Vfaba.Hedin2.R2.3g020514;AT5G51910.1;Zm00001eb037480_P001
MtrunA17_Chr1g0204011;KRH35394;Glyma.10G240300;LotjaGi5g1v0305700;Vfaba.Hedin2.R2.3g020515;AT5G51890.1;NA
MtrunA17_Chr1g0204021;KRH35395;Glyma.10G240400;LotjaGi1g1v0367600_LC;Vfaba.Hedin2.R2.3g020517;AT5G51880.1;Zm00001eb001360_P004
MtrunA17_Chr1g0204071;KRH35397;Glyma.10G240600;LotjaGi5g1v0305800;Vfaba.Hedin2.R2.3g020518;AT5G62170.1;Zm00001eb418620_P001
MtrunA17_Chr1g0204071;KRH35398;Glyma.10G240600;LotjaGi5g1v0305800;Vfaba.Hedin2.R2.3g020518;AT5G62170.1;Zm00001eb418620_P001
MtrunA17_Chr1g0204091;KRH35399;Glyma.10G240700;LotjaGi5g1v0305900;Vfaba.Hedin2.R2.3g020519;AT5G51840.1;Zm00001eb027200_P001
MtrunA17_Chr1g0204101;KRG91421;Glyma.20G153900;LotjaGi5g1v0306100;NA;NA;NA
MtrunA17_Chr1g0204111;KRG91419;Glyma.20G153700;LotjaGi5g1v0306200;NA;NA;NA
MtrunA17_Chr1g0204121;KRH25394;Glyma.12G099800;LotjaGi5g1v0306500;Vfaba.Hedin2.R2.3g020524;AT1G04910.1;Zm00001eb169790_P001
MtrunA17_Chr1g0204121;KRH25395;Glyma.12G099800;LotjaGi5g1v0306500;Vfaba.Hedin2.R2.3g020524;AT1G04910.1;Zm00001eb169790_P001
MtrunA17_Chr1g0204131;KRH35404;Glyma.10G241000;LotjaGi5g1v0306600;Vfaba.Hedin2.R2.3g020526;AT5G51820.1;Zm00001eb159720_P001
MtrunA17_Chr1g0204181;KRG91415;Glyma.20G153400;LotjaGi5g1v0306700;Vfaba.Hedin2.R2.3g020528;NA;NA
MtrunA17_Chr1g0204201;KRG91414;Glyma.20G153300;NA;Vfaba.Hedin2.R2.3g020531;AT5G62180.1;NA
MtrunA17_Chr1g0204211;KRG91413;Glyma.20G153200;NA;Vfaba.Hedin2.R2.3g020540;NA;NA
MtrunA17_Chr1g0204281;KRH35416;Glyma.10G241800;LotjaGi5g1v0307900;Vfaba.Hedin2.R2.3g020552;NA;Zm00001eb318780_P001
MtrunA17_Chr1g0204281;KRH35417;Glyma.10G241800;LotjaGi5g1v0307900;Vfaba.Hedin2.R2.3g020552;NA;Zm00001eb318780_P001
MtrunA17_Chr1g0204301;KRG91404;Glyma.20G152500;LotjaGi5g1v0307800;NA;NA;NA
MtrunA17_Chr1g0204321;KRG91405;Glyma.20G152600;LotjaGi5g1v0307700;Vfaba.Hedin2.R2.3g020549;AT5G51750.1;Zm00001eb428570_P001
MtrunA17_Chr1g0204331;KRH35413;Glyma.10G241500;LotjaGi5g1v0307600;Vfaba.Hedin2.R2.3g020547;NA;NA
MtrunA17_Chr1g0204361;KRG91410;Glyma.20G153000;LotjaGi5g1v0307400;Vfaba.Hedin2.R2.3g020546;NA;NA
MtrunA17_Chr1g0204401;KRG91399;Glyma.20G152100;LotjaGi5g1v0308100;Vfaba.Hedin2.R2.3g020554;AT5G62200.1;NA
MtrunA17_Chr1g0204441;KRH35423;Glyma.10G242200;LotjaGi5g1v0308400;Vfaba.Hedin2.R2.3g020563;AT5G51700.1;Zm00001eb242890_P001
MtrunA17_Chr1g0204461;KRG91393;Glyma.20G151800;LotjaGi5g1v0308600;Vfaba.Hedin2.R2.3g020564;AT5G07180.1;Zm00001eb378340_P001
MtrunA17_Chr1g0204471;KRH35426;Glyma.10G242400;LotjaGi5g1v0308700;Vfaba.Hedin2.R2.3g020565;AT5G51680.1;NA
MtrunA17_Chr1g0204501;KRH35427;Glyma.10G242500;LotjaGi5g1v0308800;Vfaba.Hedin2.R2.3g020566;AT5G19910.1;Zm00001eb038950_P001
MtrunA17_Chr1g0204501;KRH35428;Glyma.10G242500;LotjaGi5g1v0308800;Vfaba.Hedin2.R2.3g020566;AT5G19910.1;Zm00001eb038950_P001
MtrunA17_Chr1g0204511;KRH35429;Glyma.10G242600;LotjaGi5g1v0308900;Vfaba.Hedin2.R2.3g020567;AT3G22890.1;Zm00001eb056910_P001
MtrunA17_Chr1g0204511;KRG91385;Glyma.20G151500;LotjaGi5g1v0308900;NA;NA;NA
MtrunA17_Chr1g0204531;KRH32528;Glyma.10G056900;LotjaGi5g1v0081700;NA;NA;NA
MtrunA17_Chr1g0204551;KRG91383;Glyma.20G151400;LotjaGi5g1v0309200;Vfaba.Hedin2.R2.3g017787;AT5G43810.1;NA
MtrunA17_Chr1g0204551;KRG91384;Glyma.20G151400;LotjaGi5g1v0309200;Vfaba.Hedin2.R2.3g017787;AT5G43810.1;NA
MtrunA17_Chr1g0204601;KRH35438;Glyma.10G243200;LotjaGi5g1v0309600;Vfaba.Hedin2.R2.3g020572;AT3G22880.1;Zm00001eb163340_P001
MtrunA17_Chr1g0204611;KRH35440;Glyma.10G243300;LotjaGi5g1v0309700;Vfaba.Hedin2.R2.3g020573;AT3G22850.1;Zm00001eb056930_P001
MtrunA17_Chr1g0204621;KRH35442;Glyma.10G243400;LotjaGi5g1v0309900;Vfaba.Hedin2.R2.3g020574;AT5G18525.1;Zm00001eb131030_P001
MtrunA17_Chr1g0204631;KRH35443;Glyma.10G243500;LotjaGi1g1v0715500;Vfaba.Hedin2.R2.3g020575;AT3G22845.1;Zm00001eb215040_P001
MtrunA17_Chr1g0204651;KRH35448;Glyma.10G243700;LotjaGi5g1v0310000_LC;NA;NA;NA
MtrunA17_Chr1g0204671;KRG91371;Glyma.20G150600;NA;NA;NA;NA
MtrunA17_Chr1g0204731;KRG91369;Glyma.20G150500;LotjaGi5g1v0310200;Vfaba.Hedin2.R2.3g020586;AT1G04200.1;Zm00001eb151770_P002
MtrunA17_Chr1g0204741;KRG91367;Glyma.20G150300;LotjaGi5g1v0310300;Vfaba.Hedin2.R2.3g020587;NA;NA
MtrunA17_Chr1g0204751;KRG91365;Glyma.20G150200;LotjaGi5g1v0310400;Vfaba.Hedin2.R2.3g020590;AT4G14710.1;Zm00001eb004660_P003
MtrunA17_Chr1g0204761;KRH35456;Glyma.10G244200;LotjaGi5g1v0310500;Vfaba.Hedin2.R2.3g020592;AT4G38225.1;Zm00001eb002190_P001
MtrunA17_Chr1g0204771;KRH35462;Glyma.10G244300;LotjaGi3g1v0091100_LC;Vfaba.Hedin2.R2.3g020593;AT5G43850.1;NA
MtrunA17_Chr1g0204771;KRH35461;Glyma.10G244300;LotjaGi3g1v0091100_LC;Vfaba.Hedin2.R2.3g020593;AT5G43850.1;NA
MtrunA17_Chr1g0204781;KRG91362;Glyma.20G150000;LotjaGi5g1v0310700;Vfaba.Hedin2.R2.3g020595;AT4G14720.1;NA
MtrunA17_Chr1g0204791;KRG91359;Glyma.20G149900;LotjaGi2g1v0460000;NA;NA;NA
MtrunA17_Chr1g0204841;KRH42340;Glyma.08G084300;LotjaGi4g1v0024200;Vfaba.Hedin2.R2.6g034708;AT5G46290.1;Zm00001eb373980_P002
MtrunA17_Chr1g0204861;KRG91355;Glyma.20G149700;LotjaGi5g1v0311000;Vfaba.Hedin2.R2.3g020610;NA;NA
MtrunA17_Chr1g0204901;KRH35475;Glyma.10G245000;LotjaGi5g1v0311100;Vfaba.Hedin2.R2.3g017795;AT4G14750.1;Zm00001eb047820_P001
MtrunA17_Chr1g0204911;KRG91353;Glyma.20G149500;LotjaGi5g1v0311200;Vfaba.Hedin2.R2.3g020612;AT3G22800.1;NA
MtrunA17_Chr1g0204951;KRH35479;Glyma.10G245300;NA;Vfaba.Hedin2.R2.3g020614;NA;NA
MtrunA17_Chr1g0204981;KRG91345;Glyma.20G149200;LotjaGi5g1v0311400;Vfaba.Hedin2.R2.3g020615;AT3G22790.1;NA
MtrunA17_Chr1g0204981;KRG91346;Glyma.20G149200;LotjaGi5g1v0311400;Vfaba.Hedin2.R2.3g020615;AT3G22790.1;NA
